category,site,accuracy,precision,recall,f1
auto,aol,0.7499999812500006,0.7499999812500006,0.9999999666666678,0.857142342857423
auto,autobytel,0.5918367226155771,0.9999999655172426,0.5918367226155771,0.743589257396742
auto,automotive,0.5172413703923902,0.6249999869791669,0.7499999812500006,0.6818176704549064
auto,autoweb,0.6666666555555558,0.9999999750000007,0.6666666555555558,0.7999995040002876
auto,carquotes,0.7999999840000004,0.7999999840000004,0.9999999750000007,0.8888883753089166
auto,cars,0.4404761852324264,0.49999999324324335,0.7872340258035314,0.6115697627214941
auto,kbb,0.7999999840000004,0.9999999750000007,0.7999999840000004,0.8888883753089166
auto,motortrend,0.7547169668921327,0.9302325365062202,0.7999999840000004,0.8602145380971775
auto,msn,0.8333333194444447,0.9999999800000005,0.8333333194444447,0.9090903966944855
auto,yahoo,0.6666666555555558,0.6666666555555558,0.9999999750000007,0.7999995040002876
book,abebooks,0.99999999009901,0.99999999009901,0.99999999009901,0.9999994900992599
book,amazon,0.14598540092706058,0.1515151509412305,0.7999999840000004,0.2547768006818477
book,barnesandnoble,0.8999999887500002,0.8999999887500002,0.9999999861111113,0.9473679099725617
book,bookdepository,0.9799999804000005,0.9999999795918372,0.9799999804000005,0.9898984699522987
book,booksamillion,0.9824561231148049,0.9824561231148049,0.9999999821428575,0.9911499249748003
book,borders,0.9454545282644632,0.9454545282644632,0.9999999807692311,0.971962099048209
book,buy,0.9999999791666672,0.9999999791666672,0.9999999791666672,0.9999994791669171
book,christianbook,0.9107142694515309,0.9107142694515309,0.9999999803921573,0.953270511311293
book,deepdiscount,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
book,waterstones,0.9999999800000005,0.9999999800000005,0.9999999800000005,0.9999994800002505
camera,amazon,0.5999999880000003,0.7499999812500006,0.7499999812500006,0.749999481250334
camera,beachaudio,0.5714285597667641,0.9999999642857155,0.5714285597667641,0.7272722455729023
camera,buy,0.6521738988657848,0.7499999812500006,0.8333333101851859,0.7894731648202601
camera,compsource,0.4285714224489797,0.6122448854643902,0.5882352825836219,0.5999994882004166
camera,ecost,0.49999998750000035,0.6666666444444451,0.6666666444444451,0.6666661444448202
camera,jr,0.23204419761301548,0.24852070858863487,0.7777777633744859,0.37668124394252184
camera,newegg,0.45283018013527965,0.6315789307479229,0.6153845996055232,0.6233761072697555
camera,onsale,0.9999999666666678,0.9999999666666678,0.9999999666666678,0.9999994666669179
camera,pcnation,0.5999999880000003,0.9999999666666678,0.5999999880000003,0.7499995125002921
camera,thenerds,0.3389830451019823,0.9523809070294805,0.34482758026159344,0.5063287107838239
job,careerbuilder,0.6333333122222229,0.9999999473684238,0.6333333122222229,0.7755096976262791
job,dice,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
job,hotjobs,0.4561403428747308,0.7878787640036738,0.5199999896000003,0.6265055299756886
job,job,0.8163265139525202,0.9999999750000007,0.8163265139525202,0.8988758894081759
job,jobcircle,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
job,jobtarget,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
job,monster,0.9999999666666678,0.9999999666666678,0.9999999666666678,0.9999994666669179
job,nettemps,0.21428571275510205,0.23076922899408286,0.7499999812500006,0.35294081245711106
job,rightitjobs,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
job,techcentric,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
movie,allmovie,0.14338235241403546,0.14444444390946504,0.9512194889946467,0.2508036280023973
movie,amctv,0.5769230658284026,0.7317072992266512,0.7317072992266512,0.731706799226993
movie,boxofficemojo,0.5999999907692309,0.6190476092214665,0.9512194889946467,0.749999507951487
movie,hollywood,0.8181818033057854,0.9999999777777784,0.8181818033057854,0.8999994870002725
movie,iheartmovies,0.9999999814814818,0.9999999814814818,0.9999999814814818,0.9999994814817319
movie,imdb,0.9999999824561407,0.9999999824561407,0.9999999824561407,0.9999994824563907
movie,metacritic,0.9999999736842113,0.9999999736842113,0.9999999736842113,0.9999994736844613
movie,msn,0.9166666475694449,0.9999999772727278,0.9166666475694449,0.9565212192819244
movie,rottentomatoes,0.8360655600644991,0.9999999803921573,0.8360655600644991,0.9107137734377704
movie,yahoo,0.9999999772727278,0.9999999772727278,0.9999999772727278,0.9999994772729779
nbaplayer,espn,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
nbaplayer,fanhouse,0.9756097323022017,0.9999999750000007,0.9756097323022017,0.9876537966775895
nbaplayer,foxsports,0.6818181663223144,0.8823529152249143,0.7499999812500006,0.8108102921843808
nbaplayer,msnca,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
nbaplayer,nba,0.9999999666666678,0.9999999666666678,0.9999999666666678,0.9999994666669179
nbaplayer,si,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
nbaplayer,slam,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
nbaplayer,usatoday,0.2409638525185078,0.3174603124212649,0.49999998750000035,0.38834903195458165
nbaplayer,wiki,0.55555554526749,0.6818181663223144,0.7499999812500006,0.7142851984130472
nbaplayer,yahoo,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
restaurant,fodors,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
restaurant,frommers,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
restaurant,gayot,0.44736841516620507,0.8947368185595574,0.47222221566358036,0.6181813547110732
restaurant,opentable,0.16326530545605997,0.17021276523313716,0.7999999840000004,0.2807014630966325
restaurant,pickarestaurant,0.9999999800000005,0.9999999800000005,0.9999999800000005,0.9999994800002505
restaurant,restaurantica,0.5833333252314816,0.9999999761904769,0.5833333252314816,0.7368416269624353
restaurant,tripadvisor,0.4868420988573408,0.9999999729729737,0.4868420988573408,0.6548668046051969
restaurant,urbanspoon,0.9999999875000002,0.9999999875000002,0.9999999875000002,0.9999994875002501
restaurant,usdiners,0.07142857121598639,0.07741935458896983,0.47999999040000024,0.13333309339548796
restaurant,zagat,0.8928571269132657,0.9999999800000005,0.8928571269132657,0.943395710217423
university,collegeboard,0.5833333272569445,0.5833333272569445,0.9999999821428575,0.736841630194199
university,collegenavigator,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
university,collegeprowler,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
university,collegetoolkit,0.7999999733333342,0.999999958333335,0.7999999733333342,0.8888883621401927
university,ecampustours,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
university,embark,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
university,matchcollege,0.9999999800000005,0.9999999800000005,0.9999999800000005,0.9999994800002505
university,princetonreview,0.9999999666666678,0.9999999666666678,0.9999999666666678,0.9999994666669179
university,studentaid,0.61842104449446,0.8103448136147446,0.7230769119526629,0.7642271314696887
university,usnews,0.9999999750000007,0.9999999750000007,0.9999999750000007,0.9999994750002508
overall,overall,0.6123024829547963,0.6845425866068259,0.8529874211601186,0.7595374827231332
